szDecimals,name,maxLeverage,funding,openInterest,prevDayPx,dayNtlVlm,premium,oraclePx,markPx,midPx,impactPxs,onlyIsolated
0,ADA,20,0.0000125,6916524.0,1.0041,9409281.53752,0.0007326,0.9282,0.92868,0.929005,"['0.92888', '0.929281']",
1,TON,10,0.0000125,665214.8,6.1393,3356081.87219,0.00033916,5.897,5.8985,5.89935,"['5.899', '5.89989']",
0,MINA,10,0.0000125,459248.0,0.75051,1300399.42374,0.00119008,0.7218,0.72241,0.722785,"['0.722659', '0.722898']",
0,POLYX,10,0.00003626,783106.0,0.34249,353770.38056,0.00115837,0.3574,0.35767,0.357895,"['0.357814', '0.358023']",
1,GAS,10,0.0000125,34923.4,5.7642,339398.62704,0.00020223,5.39,5.3926,5.39805,"['5.39109', '5.40466']",
0,PENDLE,10,0.0000125,1051290.0,5.3491,4438613.852,0.00003038,4.838,4.8393,4.83965,"['4.838147', '4.841246']",
0,STG,10,0.00002029,829766.0,0.35937,635542.50366,0.00102675,0.3477,0.34807,0.348165,"['0.348057', '0.348315']",
0,FET,10,0.00008885,3508262.0,1.4528,4720249.0948,0.00208274,1.3391,1.3412,1.34205,"['1.341889', '1.342378']",
0,STRAX,10,0.0,0.0,1.5848,0.0,,0.0416,1.5829,,,
1,NEAR,20,0.0000125,1108046.6,6.6319,15115014.75956,0.00063056,6.074,6.0771,6.07895,"['6.07783', '6.07989']",
0,MEME,10,0.0000125,43423446.0,0.014529,1295145.499527,0.0,0.012842,0.012845,0.012849,"['0.01284', '0.012859']",
2,ORDI,10,0.0000125,31993.18,39.885,3050776.64482,0.00071697,36.403,36.426,36.4375,"['36.4291', '36.441']",
1,BADGER,10,0.0000125,106693.4,3.64,208865.85974,0.00065817,3.297,3.2992,3.30055,"['3.29917', '3.30186']",
2,NEO,20,0.0000125,18730.62,14.772,928796.7953,0.00062791,13.537,13.545,13.5485,"['13.5455', '13.5561']",
